Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Start_Year,Start_Month,Start_Week,Start_DayOfWeek,Duration_Diff,Cost_Overrun_Percentage,Cost_Per_Day,Duration_Ratio,Behind_Schedule,Safety_Index,Completion_Gap,Progress_Efficiency,Structural_Risk,Energy_Intensity,Anomaly_Flag,Weather_Severity,Project_Type_Building,Project_Type_Dam,Project_Type_Road,Project_Type_Tunnel,Season_Spring,Season_Summer,Season_Winter,Risk_Category_Encoded,Weather_Condition_Rainy,Weather_Condition_Snowy,Weather_Condition_Stormy,Weather_Condition_Sunny
12260784,15054504.04588933,2793720.045889329,699,813.9148521081487,114.9148521081487,1.5341721708884293,2.809384781207566,471.1973805508,18.54155503456163,49.88337244454125,210,25202.994686520688,244.8433100821766,6602,76.30018368028198,8,6.192198171085414,52.98833038206731,0,95.00634309593885,2020,1,1,2,114.9148521081487,22.78581896467085,18496.41151884149,1.164398930054576,1,0.0012117540139351712,4.9936569040611545,81.59260597352647,0.397,30.965149021720823,0,104.52747824373087,False,False,False,True,False,False,True,2,False,True,False,False
2369277,3507053.961511834,1137776.961511834,269,384.11822075374016,115.11822075374016,0.6879788952477465,3.704416033609928,355.1551256914909,23.316771914743462,58.641272060695584,195,49066.17254158934,263.12302545953946,7121,63.5276712992073,5,2.134473480571662,50.88574547544846,0,25.294824196748536,2020,1,1,3,115.11822075374016,48.022116515368786,9130.142159437475,1.4279487760362088,1,0.0007021485746383935,74.70517580325146,17.714097747233986,0.3670000000000001,127.73716499391439,0,102.58741319263171,False,True,False,False,False,False,True,0,False,True,False,False
23299783,21692126.70151073,-1607656.2984892651,899,1081.7779150556507,182.77791505565077,0.9511461471261607,3.309301561075028,236.4934156101665,42.957877170099536,36.16591652191211,127,48192.54716294946,608.9850231576941,9956,47.09944438018829,2,3.113728236987405,93.9058361052841,0,97.47882974761043,2020,1,1,4,182.77791505565074,-6.899876700522356,20052.292064397345,1.2033124750340942,1,0.0002008838891120932,2.5211702523895667,81.00874192702814,0.6960000000000002,44.54939086131209,0,74.5371381076035,True,False,False,False,False,False,True,1,False,False,False,False
24499306,29469660.49818943,4970354.498189431,809,974.5656546567312,165.56565465673134,0.870396185027795,1.7776489857600382,360.2903940074368,22.420894170128577,72.04517750453527,71,19811.15175002361,673.574343785492,3725,86.84639409323137,5,4.070100814428829,90.4543157901672,1,95.09813073766652,2020,1,1,5,165.56565465673123,20.28773589827169,30238.763655763607,1.2046547029131411,1,0.0013422818791946308,4.901869262333477,78.94223175130323,0.04600000000000004,20.328185849112078,1,56.73982150239916,False,True,False,False,False,False,True,2,False,False,False,False
1749971,2329338.0435899943,579367.0435899943,354,347.99012671864625,-6.009873281353748,1.969769981536377,4.044292695167827,204.7908363423666,15.9144907657978,57.23918227895473,113,44866.56516875615,765.476122299279,4368,61.82716309594343,6,2.7593506572715265,78.39106902502354,0,43.62498505663142,2020,1,1,6,-6.009873281353748,33.10723683935301,6693.69003527301,0.9830229568323341,1,0.0013736263736263737,56.37501494336858,44.37839905306724,1.428,128.93056935788078,0,67.14610191342575,False,True,False,False,False,False,True,0,False,False,False,False
16711072,23689353.014092717,6978281.014092714,255,379.859149759289,124.85914975928904,0.6552730178048369,1.4735068494276398,174.76628735713376,21.53708942437371,76.63241851682392,70,43142.51183970422,262.9453244249328,4497,84.16324086896738,6,2.3512046124702297,99.9361627268857,0,98.45922625200576,2020,1,2,0,124.85914975928898,41.75842826895077,62363.5182385479,1.4896437245462313,1,0.00133422281521014,1.540773747994237,66.09582185968526,0.296,113.57502344498738,0,57.45085238235929,False,False,True,False,False,False,True,0,False,False,False,True
47109273,47465106.63488769,355833.63488768786,792,831.5871177408679,39.58711774086794,0.660152752858857,2.8560645887575857,498.5074750706059,41.03453464241149,74.65129110200688,178,14480.617879740328,963.1063780879912,9174,70.77873051486051,7,1.5237799311725833,97.65260361008204,0,13.225973709210466,2020,1,2,1,39.58711774086794,0.755336714467421,57077.731992570814,1.049983734521298,1,0.000763025942882058,86.77402629078954,12.596360566709512,-0.10000000000000009,17.413230160514168,0,105.9057477233255,True,False,False,False,False,False,True,0,False,False,False,False
42776934,59032258.28350513,16255324.283505129,842,794.8635268805913,-47.13647311940872,0.773641596774354,3.7269886957076976,387.8556040309045,35.56079800809054,35.050333778902,290,33093.06803524714,674.865330660314,6642,84.31972321370952,3,8.85792309048037,82.75544853573533,0,69.46754994219683,2020,1,2,2,-47.13647311940872,38.0002089058209,74267.16195568157,0.9440184404757617,1,0.00045167118337850043,30.532450057803175,73.58706881529446,0.33999999999999997,41.633647684300605,0,137.18333953609778,True,False,False,False,False,False,True,2,True,False,False,False
25527188,31439903.658478525,5912715.658478525,579,751.4770068939876,172.47700689398755,1.172728754451611,1.8947795490625376,340.123989821818,7.763830335009441,70.09448853904337,156,8270.704201541668,862.3422269834994,9774,94.43737368715432,0,3.600490761683683,73.22872835201267,0,33.95330238379679,2020,1,2,3,172.47700689398755,23.162424543112717,41837.479217662636,1.2978877493851253,1,0.0,66.0466976162032,26.160430591846,0.2909999999999999,11.005931153803663,0,85.75749566221585,True,False,False,False,False,False,True,1,False,False,False,False
5460276,6213423.931488857,753147.9314888567,250,314.3049555235309,64.30495552353091,0.5794132141011159,1.5138380380871252,209.88033944869343,3.048990001142549,76.003808556596,165,42651.982426255774,586.0591437557546,5766,95.26177096322812,5,3.612885435402096,57.60853580565648,0,21.651678693578766,2020,1,2,4,64.30495552353091,13.793220919397786,19768.77495023676,1.2572198220941235,1,0.0008671522719389525,78.34832130642124,17.22187187401646,0.18999999999999995,135.70254517690088,0,89.71583956732157,False,True,False,False,False,False,True,1,True,False,False,False
